Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-22 19:43:00.000,2024-01-22 19:47:00.000,2024-01-22 19:53:00.000,M2.0,0.0,89.13891
2024-01-23 00:12:00.000,2024-01-23 00:15:00.000,2024-01-23 00:23:00.000,C8.9,0.0,89.42058
2024-01-23 02:55:00.000,2024-01-23 03:02:00.000,2024-01-23 03:09:00.000,C5.4,0.0,89.590758
2024-01-23 03:09:00.000,2024-01-23 03:31:00.000,2024-01-23 03:38:00.000,M5.1,0.0,89.605356
2024-01-23 04:34:00.000,2024-01-23 04:41:00.000,2024-01-23 04:48:00.000,C3.6,0.0,89.693934
2024-01-23 06:31:00.000,2024-01-23 06:40:00.000,2024-01-23 06:45:00.000,C7.0,0.0,89.815692
2024-01-23 06:45:00.000,2024-01-23 07:00:00.000,2024-01-23 07:14:00.000,C9.6,0.0,89.830248
2024-01-23 07:52:00.000,2024-01-23 08:11:00.000,2024-01-23 08:18:00.000,M2.4,0.0,89.899872
2024-01-23 08:18:00.000,2024-01-23 08:22:00.000,2024-01-23 08:26:00.000,M2.3,0.0,89.926872
2024-01-23 09:17:00.000,2024-01-23 09:30:00.000,2024-01-23 09:36:00.000,C6.2,0.0,89.988108
2024-01-23 09:59:00.000,2024-01-23 10:04:00.000,2024-01-23 10:08:00.000,C3.7,0.0,90.031668
2024-01-23 11:00:00.000,2024-01-23 11:07:00.000,2024-01-23 11:26:00.000,C3.6,0.0,90.09489
2024-01-23 11:52:00.000,2024-01-23 12:01:00.000,2024-01-23 12:12:00.000,C2.6,0.0,90.14874
2024-01-23 13:03:00.000,2024-01-23 13:08:00.000,2024-01-23 13:13:00.000,M1.0,0.0,90.222204
2024-01-23 14:27:00.000,2024-01-23 14:38:00.000,2024-01-23 14:45:00.000,C9.5,0.0,90.30903
2024-01-23 14:45:00.000,2024-01-23 14:59:00.000,2024-01-23 15:05:00.000,M1.3,0.0,90.327624
2024-01-23 16:14:00.000,2024-01-23 16:33:00.000,2024-01-23 16:36:00.000,C7.6,0.0,90.419484
2024-01-23 16:36:00.000,2024-01-23 16:40:00.000,2024-01-23 16:47:00.000,M4.3,0.0,90.44217
2024-01-23 17:32:00.000,2024-01-23 17:39:00.000,2024-01-23 17:52:00.000,C7.3,0.0,90.499896
2024-01-23 18:35:00.000,2024-01-23 18:44:00.000,2024-01-23 18:49:00.000,M1.1,0.0,90.56478
2024-01-24 00:21:00.000,2024-01-24 00:38:00.000,2024-01-24 00:43:00.000,M1.0,0.0,90.920124
2024-01-24 00:43:00.000,2024-01-24 00:50:00.000,2024-01-24 00:55:00.000,C9.0,0.0,90.94266
2024-01-24 01:31:00.000,2024-01-24 01:40:00.000,2024-01-24 01:53:00.000,M2.6,0.0,90.991806
2024-01-24 04:28:00.000,2024-01-24 04:37:00.000,2024-01-24 04:41:00.000,C3.9,0.0,91.172736
2024-01-24 04:42:00.000,2024-01-24 04:49:00.000,2024-01-24 04:57:00.000,C3.7,0.0,91.187028
2024-01-24 05:18:00.000,2024-01-24 05:43:00.000,2024-01-24 06:00:00.000,M1.4,0.0,91.223766
2024-01-24 06:29:00.000,2024-01-24 06:45:00.000,2024-01-24 07:02:00.000,C6.1,0.0,91.296168
2024-01-24 08:55:00.000,2024-01-24 09:06:00.000,2024-01-24 09:12:00.000,C3.7,0.0,91.444818
2024-01-24 10:03:00.000,2024-01-24 10:18:00.000,2024-01-24 10:29:00.000,C4.4,0.0,91.513944
2024-01-24 10:29:00.000,2024-01-24 10:34:00.000,2024-01-24 10:38:00.000,C4.2,0.0,91.540362
2024-01-24 12:09:00.000,2024-01-24 12:23:00.000,2024-01-24 12:37:00.000,C5.9,0.0,91.641864
2024-01-24 12:44:00.000,2024-01-24 12:57:00.000,2024-01-24 13:14:00.000,C6.8,0.0,91.677354
2024-01-24 15:51:00.000,2024-01-24 15:58:00.000,2024-01-24 16:04:00.000,C2.4,0.0,91.866678
2024-01-25 03:02:00.000,2024-01-25 03:10:00.000,2024-01-25 03:16:00.000,C2.0,0.0,92.541822
